config_id,dataset,experiment,model,backbone,probe,layer,n_final_seeds,final_seeds,old_test_primary_mean,old_test_primary_std,final_test_primary_mean,final_test_primary_std,old_test_accuracy_mean,old_test_accuracy_std,final_test_accuracy_mean,final_test_accuracy_std,seed42_test_primary,seed101102_final_test_primary_mean,seed101102_final_minus_seed42,final_test_primary_values,old_test_primary_values,final_test_accuracy_values
mvp__backbone_sweep__jepa_v2_1__vitb_384__temporal_attn__layer_3,MVP,backbone_sweep,V-JEPA 2.1,ViT-B/16,Attentive,3,3,"42,101,102",50.56,1.87,50.86,1.43,70.78,0.10,70.54,0.50,52.38,50.10,-2.28,"52.38,49.54,50.66","52.38,48.63,50.66","70.78,69.97,70.88"
mvp__backbone_sweep__jepa_v2_1__vitb_384__temporal_attn__layer_6,MVP,backbone_sweep,V-JEPA 2.1,ViT-B/16,Attentive,6,3,"42,101,102",78.67,8.01,78.67,8.01,87.75,5.04,87.75,5.04,87.36,74.32,-13.04,"87.36,77.05,71.59","87.36,77.05,71.59","93.33,86.40,83.52"
mvp__backbone_sweep__jepa_v2_1__vitb_384__temporal_attn__layer_9,MVP,backbone_sweep,V-JEPA 2.1,ViT-B/16,Attentive,9,2,"42,101",83.99,4.20,85.54,4.58,91.02,2.63,92.11,2.57,88.78,82.31,-6.47,"88.78,82.31,NA","88.78,82.31,80.89","93.93,90.29,NA"
mvp__backbone_sweep__jepa_v2_1__vitb_384__temporal_attn__layer_12,MVP,backbone_sweep,V-JEPA 2.1,ViT-B/16,Attentive,12,3,"42,101,102",90.12,1.13,90.12,1.13,94.67,0.59,94.67,0.59,91.41,89.48,-1.92,"91.41,89.28,89.69","91.41,89.28,89.69","95.35,94.39,94.29"
mvp__backbone_sweep__jepa_v2_1__vitg_384__temporal_attn__layer_10,MVP,backbone_sweep,V-JEPA 2.1,ViT-G/16,Attentive,10,3,"42,101,102",52.54,3.33,52.54,3.33,72.14,2.14,72.14,2.14,53.99,51.82,-2.17,"53.99,54.90,48.74","53.99,54.90,48.74","72.45,74.12,69.87"
mvp__backbone_sweep__jepa_v2_1__vitg_384__temporal_attn__layer_20,MVP,backbone_sweep,V-JEPA 2.1,ViT-G/16,Attentive,20,3,"42,101,102",75.26,1.22,75.26,1.22,86.20,0.55,86.20,0.55,74.12,75.83,1.72,"74.12,76.54,75.13","74.12,76.54,75.13","85.74,86.80,86.05"
mvp__backbone_sweep__jepa_v2_1__vitg_384__temporal_attn__layer_30,MVP,backbone_sweep,V-JEPA 2.1,ViT-G/16,Attentive,30,3,"42,101,102",84.63,12.50,84.63,12.50,91.27,7.19,91.27,7.19,93.12,80.38,-12.74,"93.12,70.27,90.50","93.12,70.27,90.50","96.16,83.01,94.64"
mvp__backbone_sweep__jepa_v2_1__vitg_384__temporal_attn__layer_40,MVP,backbone_sweep,V-JEPA 2.1,ViT-G/16,Attentive,40,3,"42,101,102",89.45,3.93,89.45,3.93,94.15,2.34,94.15,2.34,92.11,88.12,-3.99,"92.11,84.93,91.30","92.11,84.93,91.30","95.70,91.46,95.30"
mvp__backbone_sweep__videomae_v2__vit_base_16_224__temporal_attn__layer_3,MVP,backbone_sweep,VideoMAE-v2,ViT-B/16,Attentive,3,3,"42,101,102",69.94,1.54,69.94,1.54,82.68,1.22,82.68,1.22,68.25,70.78,2.53,"68.25,71.28,70.27","68.25,71.28,70.27","81.40,83.82,82.81"
mvp__backbone_sweep__videomae_v2__vit_base_16_224__temporal_attn__layer_6,MVP,backbone_sweep,VideoMAE-v2,ViT-B/16,Attentive,6,3,"42,101,102",74.49,1.89,74.49,1.89,85.02,0.94,85.02,0.94,73.71,74.87,1.16,"73.71,76.64,73.10","73.71,76.64,73.10","84.93,86.00,84.13"
