config_id,dataset,dataset_hydra,experiment,model,backbone,probe,probe_hydra,layer,layer_label,n_seeds,seeds,test_primary_mean,test_primary_std,test_accuracy_mean,test_accuracy_std,val_primary_mean,val_primary_std,val_accuracy_mean,val_accuracy_std,train_primary_mean,train_primary_std,train_accuracy_mean,train_accuracy_std,complete,missing_seeds,notes
mvp__videomae__mlp__layer_16,MVP,mvp,main,VideoMAE,ViT-H/16,MLP,mlp,16,Layer 0.5,3,"42,101,102",58.341759,1.627248,76.69363,0.827639,59.892147,0.50892,78.024941,0.453129,87.655987,1.733243,93.805509,0.840863,true,,
mvp__videomae__mlp__layer_24,MVP,mvp,main,VideoMAE,ViT-H/16,MLP,mlp,24,Layer 0.75,3,"42,101,102",64.745534,0.673239,80.24941,0.105241,68.857432,0.202225,82.861476,0.133759,93.153457,0.32525,96.548623,0.172249,true,,
mvp__videomae__mlp__layer_32,MVP,mvp,main,VideoMAE,ViT-H/16,MLP,mlp,32,Final layer,3,"42,101,102",62.959218,0.40864,79.979778,0,66.161106,0.85995,81.580721,0.50892,98.122541,0.318773,99.06127,0.159387,true,,
mvp__videomae__mlp__layer_8,MVP,mvp,main,VideoMAE,ViT-H/16,MLP,mlp,8,Layer 0.25,3,"42,101,102",50.25278,0.440738,71.806539,0.53104,50.690934,0.154452,72.733401,0.25446,84.283305,2.520952,92.07982,1.270513,true,,
mvp__videomae_v2__linear__layer_10,MVP,mvp,main,VideoMAE-v2,ViT-G/16,Linear,linear,10,Layer 0.25,3,"42,101,102",32.794068,0.710189,62.470509,0.453129,31.614425,0.823512,61.830132,0.281484,35.671726,1.771969,64.794829,0.910676,true,,
mvp__videomae_v2__linear__layer_20,MVP,mvp,main,VideoMAE-v2,ViT-G/16,Linear,linear,20,Layer 0.5,3,"42,101,102",35.995955,1.530105,63.751264,0.99584,38.388945,1.113765,64.914054,0.087566,41.405284,2.326009,67.689713,0.813124,true,,
mvp__videomae_v2__linear__layer_30,MVP,mvp,main,VideoMAE-v2,ViT-G/16,Linear,linear,30,Layer 0.75,3,"42,101,102",35.119649,0.823512,62.824402,0.259434,36.838558,0.731464,63.80182,0.431952,39.516582,0.665482,66.166385,0.086536,true,,
mvp__videomae_v2__linear__layer_40,MVP,mvp,main,VideoMAE-v2,ViT-G/16,Linear,linear,40,Final layer,3,"42,101,102",33.367037,1.290915,62.403101,0.871757,34.647792,0.25446,63.565892,0.105241,37.627881,2.113338,65.817875,1.344533,true,,
mvp__videomae_v2__mlp__layer_10,MVP,mvp,main,VideoMAE-v2,ViT-G/16,MLP,mlp,10,Layer 0.25,3,"42,101,102",52.612066,0.592464,72.851365,0.394856,53.319852,0.058377,74.014156,0.262697,86.520517,0.652536,93.170321,0.350905,true,,
mvp__videomae_v2__mlp__layer_20,MVP,mvp,main,VideoMAE-v2,ViT-G/16,MLP,mlp,20,Layer 0.5,3,"42,101,102",66.430738,0.440738,80.721267,0.372655,68.554095,0.101112,82.490731,0.191402,94.266442,0.762405,97.1276,0.375692,true,,
mvp__videomae_v2__mlp__layer_30,MVP,mvp,main,VideoMAE-v2,ViT-G/16,MLP,mlp,30,Layer 0.75,3,"42,101,102",61.206606,0.233509,78.328278,0.344129,63.936636,0.308903,79.575329,0.087566,90.19674,2.186875,95.019674,1.087831,true,,
mvp__videomae_v2__mlp__layer_40,MVP,mvp,main,VideoMAE-v2,ViT-G/16,MLP,mlp,40,Final layer,3,"42,101,102",58.779912,1.881702,76.306033,0.910478,61.644759,0.420964,78.109201,0.267518,89.218662,0.710935,94.491287,0.355467,true,,
