run_set,source_summary_csv,config_id,run_id,dataset,dataset_hydra,experiment,model,backbone,probe,probe_hydra,layer,layer_label,seed,source,status,objective_metric_name,primary_metric_name,train_primary,train_accuracy,val_primary,val_accuracy,test_primary,test_accuracy,n_epochs,expected_epochs,early_stopped,expected_early_stopping,artifact_train_eval_summary,artifact_probe_eval_dir,source_csv_path,source_csv_line_number,source_excel_workbook,source_excel_sheet,source_excel_range,notes
main_linear_mlp,results/seed_runs/layerwise_seed_results_long.csv,mvp__jepa_v1__linear__layer_8,mvp__jepa_v1__linear__layer_8__seed_42,MVP,mvp,main,V-JEPA,ViT-H/16,Linear,linear,8,Layer 0.25,42,source_csv,complete,pair_consistency,pair_consistency,39.763912,66.745363,35.389282,63.700708,36.602629,64.105157,,100,,true,,,results/verified_layerwise_probe_configs.csv,339,mvp_primary_db.xlsx,V-JEPA,N4:X4,seed 42 read from source CSV metrics
main_linear_mlp,results/seed_runs/layerwise_seed_results_long.csv,mvp__jepa_v1__linear__layer_16,mvp__jepa_v1__linear__layer_16__seed_42,MVP,mvp,main,V-JEPA,ViT-H/16,Linear,linear,16,Layer 0.5,42,source_csv,complete,pair_consistency,pair_consistency,46.509275,69.831366,40.950455,66.127401,41.557128,66.430738,,100,,true,,,results/verified_layerwise_probe_configs.csv,340,mvp_primary_db.xlsx,V-JEPA,N5:X5,seed 42 read from source CSV metrics
main_linear_mlp,results/seed_runs/layerwise_seed_results_long.csv,mvp__jepa_v1__linear__layer_24,mvp__jepa_v1__linear__layer_24__seed_42,MVP,mvp,main,V-JEPA,ViT-H/16,Linear,linear,24,Layer 0.75,42,source_csv,complete,pair_consistency,pair_consistency,54.333895,73.844857,49.34277,69.312437,47.623862,69.0091,,100,,true,,,results/verified_layerwise_probe_configs.csv,341,mvp_primary_db.xlsx,V-JEPA,N6:X6,seed 42 read from source CSV metrics
main_linear_mlp,results/seed_runs/layerwise_seed_results_long.csv,mvp__jepa_v1__mlp__layer_32,mvp__jepa_v1__mlp__layer_32__seed_42,MVP,mvp,main,V-JEPA,ViT-H/16,MLP,mlp,32,Final layer,42,source_csv,complete,pair_consistency,pair_consistency,99.932546,99.966273,91.102123,95.197169,87.259858,93.023256,,2000,,true,,,results/verified_layerwise_probe_configs.csv,342,mvp_primary_db.xlsx,V-JEPA,N7:X7,seed 42 read from source CSV metrics
main_linear_mlp,results/seed_runs/layerwise_seed_results_long.csv,mvp__jepa_v1__mlp__layer_8,mvp__jepa_v1__mlp__layer_8__seed_42,MVP,mvp,main,V-JEPA,ViT-H/16,MLP,mlp,8,Layer 0.25,42,source_csv,complete,pair_consistency,pair_consistency,90.387858,95.193929,59.858443,77.755308,59.453994,77.249747,,2000,,true,,,results/verified_layerwise_probe_configs.csv,343,mvp_primary_db.xlsx,V-JEPA,N8:X8,seed 42 read from source CSV metrics
main_linear_mlp,results/seed_runs/layerwise_seed_results_long.csv,mvp__jepa_v1__mlp__layer_16,mvp__jepa_v1__mlp__layer_16__seed_42,MVP,mvp,main,V-JEPA,ViT-H/16,MLP,mlp,16,Layer 0.5,42,source_csv,complete,pair_consistency,pair_consistency,98.448567,99.224283,72.800809,85.338726,70.171891,83.72093,,2000,,true,,,results/verified_layerwise_probe_configs.csv,344,mvp_primary_db.xlsx,V-JEPA,N9:X9,seed 42 read from source CSV metrics
main_linear_mlp,results/seed_runs/layerwise_seed_results_long.csv,mvp__jepa_v1__mlp__layer_24,mvp__jepa_v1__mlp__layer_24__seed_42,MVP,mvp,main,V-JEPA,ViT-H/16,MLP,mlp,24,Layer 0.75,42,source_csv,complete,pair_consistency,pair_consistency,100,100,90.798787,94.893832,86.85541,93.023256,,2000,,true,,,results/verified_layerwise_probe_configs.csv,345,mvp_primary_db.xlsx,V-JEPA,N10:X10,seed 42 read from source CSV metrics
main_linear_mlp,results/seed_runs/layerwise_seed_results_long.csv,mvp__jepa_v2__linear__layer_40,mvp__jepa_v2__linear__layer_40__seed_42,MVP,mvp,main,V-JEPA 2,ViT-G/16,Linear,linear,40,Final layer,42,source_csv,complete,pair_consistency,pair_consistency,52.310287,73.102867,48.938322,70.424671,48.533873,69.91911,,100,,true,,,results/verified_layerwise_probe_configs.csv,362,mvp_primary_db.xlsx,V-JEPA 2,N3:X3,seed 42 read from source CSV metrics
main_linear_mlp,results/seed_runs/layerwise_seed_results_long.csv,mvp__jepa_v2__linear__layer_10,mvp__jepa_v2__linear__layer_10__seed_42,MVP,mvp,main,V-JEPA 2,ViT-G/16,Linear,linear,10,Layer 0.25,42,source_csv,complete,pair_consistency,pair_consistency,34.266442,63.187184,30.637007,60.465116,30.232558,60.364004,,100,,true,,,results/verified_layerwise_probe_configs.csv,363,mvp_primary_db.xlsx,V-JEPA 2,N4:X4,seed 42 read from source CSV metrics
main_linear_mlp,results/seed_runs/layerwise_seed_results_long.csv,mvp__jepa_v2__linear__layer_20,mvp__jepa_v2__linear__layer_20__seed_42,MVP,mvp,main,V-JEPA 2,ViT-G/16,Linear,linear,20,Layer 0.5,42,source_csv,complete,pair_consistency,pair_consistency,39.595278,66.863406,33.973711,62.89181,31.648129,61.779575,,100,,true,,,results/verified_layerwise_probe_configs.csv,364,mvp_primary_db.xlsx,V-JEPA 2,N5:X5,seed 42 read from source CSV metrics
